smiles,valid,mw,n_rot,n_arom,psuedo_groups,fingerprint,subset
O=C(O)C=CC1=CC=C(O)C=C1,True,164.16,1,1,COC(=O)C=Cc1ccc(O)cc1,[0. 0. 0. ... 0. 0. 0.],mono
CC1=C(Cl)C=CC=C1NC1=NC=CC=C1C(=O)O,True,262.69599999999997,3,2,COC(=O)c1cccnc1Nc1cccc(C)c1C,[0. 0. 0. ... 0. 0. 0.],mono
O=C(O)C1=CC(I)=CC(I)=C1O,True,389.914,1,1,COC(=O)c1cc(C)cc(C)c1O,[0. 0. 0. ... 0. 0. 0.],mono
O=C(O)C=CC1=CC=CC=C1O,True,164.16,1,1,COC(=O)C=Cc1ccccc1O,[0. 0. 0. ... 0. 0. 0.],mono
O=C(O)C1=CNC2=CC=CC=C12,True,161.16,1,2,COC(=O)c1cn(C)c2ccccc12,[0. 0. 0. ... 0. 0. 0.],mono
O=C(O)CC1=CNC2=CC=CC=C12,True,175.187,2,2,COC(=O)Cc1cn(C)c2ccccc12,[0. 0. 0. ... 0. 0. 0.],mono
O=C(O)C=CC1=CC=CC(O)=C1,True,164.16,1,1,COC(=O)C=Cc1cccc(O)c1,[0. 0. 0. ... 0. 0. 0.],mono
O=C(O)[C@H]1O[C@@H](OC2=CC=C(C3=COC4=CC(O)=CC=C4C3=O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,True,430.3650000000001,3,3,COC(=O)[C@H]1O[C@@H](Oc2ccc(-c3coc4cc(O)ccc4c3=O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,[0. 0. 0. ... 0. 0. 0.],mono
O=C(O)[C@H]1O[C@@H](OC2=CC=C3C(=O)C(C4=CC=C(O)C=C4)=COC3=C2)[C@H](O)[C@@H](O)[C@@H]1O,True,430.36500000000007,3,3,COC(=O)[C@H]1O[C@@H](Oc2ccc3c(=O)c(-c4ccc(O)cc4)coc3c2)[C@H](O)[C@@H](O)[C@@H]1O,[0. 0. 0. ... 0. 0. 0.],mono
O=C(O)C1=C(C2=CNC3=CC=CC=C23)C(C2=CNC3=CC=CC=C23)=C(C(=O)O)N1,True,385.37900000000013,4,5,COC(=O)c1c(-c2cn(C)c3ccccc23)c(-c2cn(C)c3ccccc23)c(C(=O)OC)n1C,[0. 0. 0. ... 0. 0. 0.],mono
O=C1NC(=O)C(C2=CNC3=CC=CC=C23)=C1C1=CNC2=CC=CC=C12,True,327.3430000000001,2,4,Cn1cc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2=O)c2ccccc21,[0. 0. 0. ... 0. 0. 0.],mono
O=C1NCC2=C1C1=C(NC3=CC=CC=C31)C1=C2C2=CC=CC=C2N1,True,311.344,0,5,Cn1c2ccccc2c2c3c(c4c5ccccc5n(C)c4c21)C(=O)NC3,[0. 0. 0. ... 0. 0. 0.],mono
O=C(O)CC1=CNC2=CC=C(O)C=C12,True,191.186,2,2,COC(=O)Cc1cn(C)c2ccc(O)cc12,[0. 0. 0. ... 0. 0. 0.],mono
COC1=CC=C2C(=C1)C(CC(=O)O)=C(C)N2C(=O)C1=CC=C(Cl)C=C1,True,357.793,5,3,COC(=O)Cc1c(C)n(C(=O)c2ccc(C)cc2)c2ccc(OC)cc12,[0. 0. 0. ... 0. 0. 0.],mono
O=C(O)CCC1=NC=CC2=C1NC1=CC=CC=C12,True,240.26200000000003,3,3,COC(=O)CCc1nccc2c3ccccc3n(C)c12,[0. 0. 0. ... 0. 0. 0.],mono
O=C(O)C1=CC2=CC=CC=C2N1,True,161.16,1,2,COC(=O)c1cc2ccccc2n1C,[0. 0. 0. ... 0. 0. 0.],mono
COC1=CC=C2C(=C1)NC1=C(CCC(=O)O)N=CC=C12,True,270.28799999999995,4,3,COC(=O)CCc1nccc2c3ccc(OC)cc3n(C)c12,[0. 0. 0. ... 0. 0. 0.],mono
CC#CC1=CC=C(C2=CC=C(C(=O)O)S2)S1,True,248.32799999999997,2,2,COC(=O)c1ccc(-c2ccc(C3C=CC(C)CC3C)s2)s1,[0. 0. 0. ... 0. 0. 0.],mono
O=C1NCCC2=C1NC1=CC=CC=C21,True,186.21400000000003,0,2,Cn1c2c(c3ccccc31)CCNC2=O,[0. 0. 0. ... 0. 0. 0.],mono
O=C(O)C=CC1=CC=C(O)C2=C1C=C(C1=CC=C(O)C(O)=C1)O2,True,312.27700000000004,2,3,COC(=O)C=Cc1ccc(O)c2oc(-c3ccc(O)c(O)c3)cc12,[0. 0. 0. ... 0. 0. 0.],mono
CC#CC1=CC=C(C2=CC=C(C(=O)CCl)S2)S1,True,280.80099999999993,3,2,CCC(=O)c1ccc(-c2ccc(C3CC(C)C=CC3C)s2)s1,[0. 0. 0. ... 0. 0. 0.],mono
CC#CC1=CC=C(C2=CC=C(Cl)S2)S1,True,238.76399999999998,1,2,Cc1ccc(-c2ccc(C3CC(C)C=CC3C)s2)s1,[0. 0. 0. ... 0. 0. 0.],mono
O=C(O)[C@H]1O[C@@H](OC2=CC(O)=C3C(=O)C=C(C4=CC=CC=C4)OC3=C2)[C@H](O)[C@@H](O)[C@H]1O,True,430.36500000000007,3,3,COC(=O)[C@H]1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4ccccc4)oc3c2)[C@H](O)[C@@H](O)[C@H]1O,[0. 0. 0. ... 0. 0. 0.],mono
